student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,grade
S1000,23,Female,0.0,1.2,1.1,False,85.0,8.0,Fair,6,Master,Average,8,True,56.2,DC
S1001,20,Female,6.9,2.8,2.3,False,97.3,4.6,Good,6,High School,Average,8,False,100.0,AA
S1002,21,Male,1.4,3.1,1.3,False,94.8,8.0,Poor,1,High School,Poor,1,False,34.3,FF
S1003,23,Female,1.0,3.9,1.0,False,71.0,9.2,Poor,4,Master,Good,1,True,26.8,FF
S1004,19,Female,5.0,4.4,0.5,False,90.9,4.9,Fair,3,Master,Good,1,False,66.4,CC
S1005,24,Male,7.2,1.3,0.0,False,82.9,7.4,Fair,1,Master,Average,4,False,100.0,AA
S1006,21,Female,5.6,1.5,1.4,True,85.8,6.5,Good,2,Master,Poor,4,False,89.8,BA
S1007,21,Female,4.3,1.0,2.0,True,77.7,4.6,Fair,0,Bachelor,Average,8,False,72.6,CB
S1008,23,Female,4.4,2.2,1.7,False,100.0,7.1,Good,3,Bachelor,Good,1,False,78.9,CB
S1009,18,Female,4.8,3.1,1.3,False,95.4,7.5,Good,5,Bachelor,Good,10,True,100.0,AA
S1010,19,Female,4.6,3.7,0.8,False,77.6,5.8,Fair,1,Primary School,Good,3,False,63.3,CC
S1011,23,Male,3.9,2.4,2.5,False,71.7,7.9,Fair,2,Bachelor,Average,1,False,74.4,CB
S1012,19,Female,3.7,2.1,0.4,True,81.1,4.5,Fair,1,Bachelor,Good,9,False,76.9,CB
S1013,19,Female,3.4,2.7,2.7,False,89.3,4.7,Fair,4,Bachelor,Good,10,False,75.8,CB
S1014,24,Male,2.4,1.5,0.7,False,87.4,6.7,Poor,6,Bachelor,Average,9,False,78.9,CB
S1015,21,Male,3.1,5.0,1.0,False,97.5,6.5,Good,6,High School,Average,7,False,74.0,CB
S1016,20,Male,1.0,0.6,0.2,False,92.9,5.6,Poor,3,High School,Poor,8,True,55.2,DC
S1017,24,Female,3.4,2.7,1.2,False,94.7,7.5,Poor,0,High School,Average,1,True,70.8,CB
S1018,24,Non-binary,2.0,4.9,2.9,True,88.3,7.1,Good,2,High School,Good,5,False,43.9,DD
S1019,19,Male,1.8,2.5,2.4,False,71.1,7.5,Fair,1,High School,Average,2,False,45.3,DD
S1020,22,Female,3.8,2.3,2.9,False,83.0,6.4,Good,3,Master,Good,1,False,58.5,DC
S1021,21,Male,5.6,2.1,2.4,False,95.6,7.2,Fair,1,High School,Good,3,False,82.5,BB
S1022,18,Non-binary,4.9,2.3,0.6,False,84.5,6.0,Fair,3,High School,Average,7,False,98.7,AA
S1023,24,Female,1.1,4.1,1.4,True,90.0,9.0,Fair,6,Bachelor,Good,1,False,43.7,DD
S1024,20,Female,2.0,0.0,0.9,True,81.8,5.5,Fair,4,Bachelor,Average,2,False,54.9,DC
S1025,22,Male,4.9,4.3,3.3,False,74.7,9.0,Fair,1,High School,Average,2,True,69.9,CC
S1026,22,Male,2.0,0.8,0.5,False,83.8,6.5,Good,4,Bachelor,Poor,4,False,73.5,CB
S1027,18,Male,3.2,2.2,2.8,True,88.1,4.8,Fair,5,Bachelor,Average,3,False,71.1,CB
S1028,24,Male,4.3,2.0,2.8,True,78.4,8.1,Good,5,High School,Poor,3,True,82.8,BB
S1029,20,Female,2.0,3.2,3.8,True,82.6,6.7,Poor,6,High School,Poor,10,True,75.7,CB
S1030,21,Female,3.7,0.6,1.3,False,75.6,7.5,Fair,2,Master,Average,5,False,70.6,CB
S1031,17,Non-binary,1.5,3.1,2.6,True,96.2,8.0,Fair,4,Bachelor,Average,3,True,51.3,DC
S1032,20,Non-binary,2.6,4.9,4.3,False,82.1,6.9,Good,3,Bachelor,Good,7,False,52.1,DC
S1033,18,Female,4.0,0.9,1.1,False,99.5,5.8,Poor,2,Primary School,Average,5,False,70.7,CB
S1034,22,Female,1.1,2.7,0.1,False,100.0,7.7,Fair,1,High School,Good,4,False,51.2,DC
S1035,21,Female,4.2,1.7,0.0,True,84.2,6.5,Good,1,Bachelor,Average,3,False,72.6,CB
S1036,20,Female,3.5,3.0,2.6,False,74.9,7.3,Fair,3,High School,Good,4,False,70.7,CB
S1037,17,Male,4.3,2.5,0.0,True,64.1,3.9,Good,0,High School,Average,2,False,59.4,DC
